Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
3534,"Imagineered Signs & Displays",,,1,,3205,230168,,
3535,"I M Incentives, LLC",,,1,,3206,229374,,
3536,"Impact Dimensions",,,1,,3207,230321,,
3537,"Impact Marketing Services Inc",,,1,,3208,230200,,
3538,"Imperial Expressions ",,,1,,3209,230391,,
3539,Impressions,,,1,,3210,35355,,
3540,"IMPRESSIVE IMAGE WORKS ",,,1,,3211,230788,,
3541,"Impressive Imprints ",,,1,,3212,230512,,
3542,"Impressive Imprints",,,1,,3213,230512,,
3543,"Incentives International Inc.",,,1,,3214,36602,,
3544,Indoff,,,1,,3215,231011,,
3545,"Infinity Promotions",,,1,,3216,29664,,
3546,Inkhead.com,,,1,,3217,231159,,
3547,"Inkwell Global Marketing",,,1,,3218,231120,,
3548,"INM Marketing Group",,,1,,3219,229643,,
3549,"INM MARKETING GROUP ",,,1,,3220,229643,,
3550,"Innerworkings NY ",,,1,,3221,168860,,
3551,"Innerworkings- PA",,,1,,3222,168860,,
3552,"In Record Time Inc.",,,1,,3223,230728,,
3553,"Intandem Promotions",,,1,,3224,231285,,
3554,"InTandem Promotions",,,1,,3225,231285,,
3555,"INTEG ",,,1,,3226,231791,,
3556,"International Promotional Ideas",,,1,,3227,231697,,
3557,IRCustoms,,,1,,3228,34340,,
3558,"IRIS Strategic Marketing Support",,,1,,3229,33878,,
3559,Ironmark,,,1,,3230,169127,,
3560,"Island Advertising",,,1,,3231,232216,,
3561,"Jack Nadel International",,,1,,3232,279600,,
3562,"Janway Co.",,,1,,3233,233578,,
3563,"JCB Specialties, INC",,,1,,3234,232363,,
3564,"JCM Associates LLC",,,1,,3235,234335,,
3565,"JC PROMO LLC",,,1,,3236,37613,,
3566,"Jeckil Promotions",,,1,,3237,234315,,
3567,"JEDCO Sales",,,1,,3238,234325,,
3568,"Jellybean Promotions",,,1,,3239,234394,,
3569,"J. Gardner & Associates, LLC",,,1,,3240,201495,,
3570,"JHRO Wholesale Inc",,,1,,3241,32463,,
3571,"JH Studios, Inc.",,,1,,3242,232465,,
3572,"Joe A. Cummings Adv Spec",,,1,,3243,172400,,
3573,"John Michael Associates, Inc.",,,1,,3244,21295,,
3574,"Johnson Level & Tool",,,1,,3245,20811,,
3575,"Joshua Tree Printing and Design",,,1,,3246,237601,,
3576,"Joy of Advertising",,,1,,3247,237605,,
3577,"J PAUL COMPANY ",,,1,,3248,232286,,
3578,"JR180 Ad Specialties",,,1,,3249,232826,,
3579,"J.R. Bustard Adv",,,1,,3250,153930,,
3580,"J.T. Lovell Co ",,,1,,3251,256200,,
3581,"Junior Davis & Associates ",,,1,,3252,176197,,
3582,"Just B Specialties LLC",,,1,,3253,237902,,
3583,"Kaeser & Blair Inc",,,1,,3254,238600,,
